STUDENTID,YEAR,NEWCOURSECODE,NEWCOURSETITLE,STUDYLEVEL,COMMUTELENGTH,ACCOMMODATIONTYPE,CAMPUSPOSTCODE,AVERAGEMODULEMARK,ACTUALATTENDANCEDAYS,EXPECTEDATTENDANCEDAYS
"K\N_7$,OC24&:7RM.(\$<-",2017/18,BSECO01F,BSc Business Economics FT,Level 6,7.23,Commuter,NW1 5LS,72,37,76
K\NGQ^DZWMBZ@B\L[&0FF',2016/17,BSCSS02F,BSc Computer Science FT,Level 4,8.16,Commuter,W1W 6XH,74,62,74
K\NGQ^DZWMBZ@B\L[&0FF',2017/18,BSCSS02F,BSc Computer Science FT,Level 5,8.16,Commuter,W1W 6XH,68,37,69
K\P^;-02@4[.H42\D=..)&,2016/17,BAFAS01F,BA Fashion Buying Management FT,Level 6,17.23,Unknown,HA1 3TP,67,25,61
"K\TYO6""0,`O0]IVIP-T&S+",2017/18,BAJMC04F,BA Public Relations and Advertising FT,Level 4,10.43,Commuter,HA1 3TP,48,24,76
"K\X\*5$PW`""3L@37!9!7[""",2016/17,BABSM06F,BA Business Management FT,Level 4,6.94,Other inc. Private Halls,NW1 5LS,49,24,74
"K\X\*5$PW`""3L@37!9!7[""",2017/18,BABSM06F,BA Business Management FT,Level 5,6.94,Other inc. Private Halls,NW1 5LS,36,26,79
"K\XGUD2*B'Z?JH%>9;$U""/",2016/17,BSPSY02F,BSc Psychology FT,Level 6,6.68,Commuter,W1W 6XH,71,25,64
"K]-!T8O_PX2\*`3I=PQ;Y""",2016/17,BAPIR03F,BA Politics and International Relations FT,Level 4,1.51,Other inc. Private Halls,W1B 2HW,65,57,78
"K]-!T8O_PX2\*`3I=PQ;Y""",2017/18,BAPIR03F,BA Politics and International Relations FT,Level 5,1.51,Other inc. Private Halls,W1B 2HW,70,51,58
K]-O'D!PEF*TA56IP1*MC/,2016/17,BAPHT02F,BA Photography FT,Level 6,7.5,Other inc. Private Halls,HA1 3TP,24,1,84
"K]!H7GC!=""F14Q>:""""TG8%",2016/17,BSCSS02F,BSc Computer Science FT,Level 4,9.25,UoW Halls,W1W 6XH,69,32,75
"K]!H7GC!=""F14Q>:""""TG8%",2017/18,BSCSS02F,BSc Computer Science FT,Level 5,8.68,Other inc. Private Halls,W1W 6XH,28,23,69
"K]%PX5FPEXCG]L^:2&"":Q-",2017/18,BABSM06F,BA Business Management FT,Level 4,27.06,Unknown,NW1 5LS,46,38,75
"K](E`PJXQV"",XM8%6`9B%,",2016/17,BSBMS01F,BSc Biomedical Sciences FT,Level 5,3.27,Commuter,W1W 6XH,67,51,71
"K](E`PJXQV"",XM8%6`9B%,",2017/18,BSBMS01F,BSc Biomedical Sciences FT,Level 6,3.27,Commuter,W1W 6XH,65,30,77
K]_EA<OX\<22OGD=..6&C$,2016/17,BSBMS01F,BSc Biomedical Sciences FT,Level 5,7.98,Commuter,W1W 6XH,63,51,69
K]_EA<OX\<22OGD=..6&C$,2017/18,BSBMS01F,BSc Biomedical Sciences FT,Level 6,7.98,Commuter,W1W 6XH,59,30,77
K]`5P%`#=^4`)\MX4D<VY.,2016/17,BASOC01F,BA Sociology FT,Level 6,6.89,Commuter,W1B 2HW,70,48,71
"K]<[HCS(4%08C4>:>[NQ,'",2016/17,BAFAS06F,BA Fashion Marketing and Promotion FT,Level 4,2.22,UoW Halls,HA1 3TP,68,38,71
"K]<[HCS(4%08C4>:>[NQ,'",2017/18,BAFAS06F,BA Fashion Marketing and Promotion FT,Level 5,2.22,UoW Halls,HA1 3TP,62,54,82
K]25SRH.9R.0*]._YZ-@$.,2016/17,BAMRK02F,BA Marketing Communications FT,Level 5,3.46,Other inc. Private Halls,NW1 5LS,70,66,75
K]25SRH.9R.0*]._YZ-@$.,2017/18,BAMRK02F,BA Marketing Communications FT,Level 6,9.96,Unknown,NW1 5LS,73,55,72
K]BX0ZX)KA4B8_/I%-U-@',2016/17,BSPSY01F,BSc Cognitive and Clinical Neuroscience FT,Level 5,20.55,Commuter,W1W 6XH,65,56,69
K]BX0ZX)KA4B8_/I%-U-@',2017/18,BSPSY01F,BSc Cognitive and Clinical Neuroscience FT,Level 6,20.55,Commuter,W1W 6XH,61,39,65
K]G4>05/@7./J(C?WLC;10,2016/17,BSCON01F,BSc Computer Networks and Communications FT,Level 4,6.64,UoW Halls,W1W 6XH,77,95,101
K]G4>05/@7./J(C?WLC;10,2017/18,BSCON01F,BSc Computer Networks and Communications FT,Level 5,2.32,Other inc. Private Halls,W1W 6XH,66,74,103
"K]IU,,![/I*;M/[N4@4$D/",2017/18,BABSM06F,BA Business Management FT,Level 4,6.07,UoW Halls,NW1 5LS,63,29,74
K]JAE'S@4MH#.HV#^<YOE$,2016/17,BATFM01F,BA Film FT,Level 6,2.24,UoW Halls,HA1 3TP,67,4,126
K]L6BD6H.Y935_/AHZ198!,2017/18,BAMRK03F,BA Marketing Management FT,Level 4,8.66,Commuter,NW1 5LS,,62,72
"K]N>/LQ<FY]5?YG.+:%.8""",2017/18,BAADS02F,BA Graphic Communication Design FT,Level 4,0.59,UoW Halls,HA1 3TP,59,54,72
K]R5LL5)8!R2\%A!`%`9:!,2017/18,BLLAW02F,LLB Law FT,Level 4,9.87,Commuter,W1B 2HW,56,46,84
"K]TT5P1JZ`0Y)BY/7A*8#,",2017/18,BABSM06F,BA Business Management FT,Level 4,10.4,Unknown,NW1 5LS,45,35,73
"K]YWU/NA,P[PT*$E(J2N9)",2017/18,BAJMC06F,BA Television Production FT,Level 4,1.43,Other inc. Private Halls,HA1 3TP,67,32,84
K^-)-/'*:/+1605^+8VLT+,2016/17,BAMUS01F,BA Commercial Music FT,Level 5,0.43,Other inc. Private Halls,HA1 3TP,0,8,60
K^(-`'XU*GR&X[@0]4#%E.,2016/17,BECSS01F,BEng Software Engineering FT,Level 4,8.27,Commuter,W1W 6XH,71,47,75
K^(-`'XU*GR&X[@0]4#%E.,2017/18,BECSS01F,BEng Software Engineering FT,Level 5,8.27,Commuter,W1W 6XH,62,21,59
K^(6`%2<3NJ!E7J^G)^RF!,2016/17,BAENG07F,BA English Literature FT,Level 4,12.44,Unknown,W1B 2HW,58,20,73
K^(6`%2<3NJ!E7J^G)^RF!,2017/18,BAENG07F,BA English Literature FT,Level 5,12.44,Unknown,W1B 2HW,50,16,86
K^:YQI0$4X0P'EFYGP*F>&,2016/17,BSPSY02F,BSc Psychology FT,Level 6,5.99,Commuter,W1W 6XH,57,14,64
K^;UYYF+9OM+2@CU808QY%,2017/18,BSCSS02F,BSc Computer Science FT,Level 4,10.42,Commuter,W1W 6XH,86,82,91
K^_X2-?=XZ>).(X$'PWA)(,2016/17,BSNUT01F,BSc Human Nutrition FT,Level 6,1.29,Commuter,W1W 6XH,47,37,66
"K^`T]G$""=%I%2G1DU>LGA)",2017/18,BSPSY02F,BSc Psychology FT,Level 4,2.7,Other inc. Private Halls,W1W 6XH,37,42,73
K^<W':H[+@RS@2Z8/FQU9-,2016/17,BMMUS01F,BMus Commercial Music Performance FT,Level 4,0.59,UoW Halls,HA1 3TP,52,21,63
K^<W':H[+@RS@2Z8/FQU9-,2017/18,BMMUS01F,BMus Commercial Music Performance FT,Level 5,11.38,Commuter,HA1 3TP,47,4,68
K^1;0VM=-'T-ZELC?.T78&,2016/17,BSBIO02F,BSc Biological Sciences FT,Level 5,10.53,Commuter,W1W 6XH,67,55,87
K^1;0VM=-'T-ZELC?.T78&,2017/18,BSBIO02F,BSc Biological Sciences FT,Level 6,10.53,Commuter,W1W 6XH,69,52,81
K^5[^S?2D)Z`CIM=A1.=<*,2017/18,BSBMS04F,BSc Honours Biomedical Sciences (Sandwich) FT,Level 4,3.61,Commuter,W1W 6XH,62,67,86
K^8<P*-+9VF%O^3<#H5LW(,2016/17,BLLAW02F,LLB Law FT,Level 6,9.46,Other inc. Private Halls,W1B 2HW,43,37,74
K^J++.!I`.*D`Q4'-E0&&.,2016/17,BAJMC02F,BA Journalism FT,Level 5,5.65,Other inc. Private Halls,HA1 3TP,61,41,87
K^J++.!I`.*D`Q4'-E0&&.,2017/18,BAJMC02F,BA Journalism FT,Level 6,5.65,Other inc. Private Halls,HA1 3TP,60,7,55
K^LBA1C:B'Q<IE\?G`=+C+,2016/17,BAPHT02F,BA Photography FT,Level 5,6.81,Unknown,HA1 3TP,54,28,94
K^LBA1C:B'Q<IE\?G`=+C+,2017/18,BAPHT02F,BA Photography FT,Level 6,13.81,Other inc. Private Halls,HA1 3TP,0,2,60
K^Y;92W?%?TE)2227UPR8$,2016/17,BAJMC06F,BA Television Production FT,Level 6,62.74,Unknown,HA1 3TP,63,10,79
"K_-OEI`%JOT8$(0QKNA7""&",2016/17,BAPIR02F,BA International Relations FT,Level 5,1.82,Other inc. Private Halls,W1B 2HW,66,45,81
"K_-OEI`%JOT8$(0QKNA7""&",2017/18,BAPIR02F,BA International Relations FT,Level 6,3.81,Other inc. Private Halls,W1B 2HW,72,33,77
K_(C;US2##A0G!C@.[2B:-,2017/18,BAJMC06F,BA Television Production FT,Level 4,2.41,Other inc. Private Halls,HA1 3TP,63,52,84
K_;:*@+>RH]HEEN.'(N8M',2017/18,BATOE02F,BA Tourism Planning and Management FT,Level 4,4.02,Commuter,NW1 5LS,,39,62
K_?S1R6;<+=&%=8>^**_<',2017/18,BAFAS06F,BA Fashion Marketing and Promotion FT,Level 4,10.08,Commuter,HA1 3TP,69,48,91
"K_@U.(C]<\RPUT2ZH`KGX""",2017/18,BLLAW02F,LLB Law FT,Level 4,1.11,Other inc. Private Halls,W1B 2HW,52,47,93
K_[@7*`)Z:TE`F_@JW/YD#,2016/17,BAMRK03F,BA Marketing Management FT,Level 6,3.73,Other inc. Private Halls,NW1 5LS,63,28,90
K_]C$2-NN@BD3^.S$5+7/-,2016/17,BALAN07F,BA Translation FT,Level 6,12.48,Commuter,W1B 2HW,72,38,84
"K_`]D,U^4-2?A>YO>`C#&0",2017/18,BSPOC05F,BSc Property and Planning FT,Level 6,2.18,Other inc. Private Halls,NW1 5LS,66,26,49
K_>I&;+]/PF`EANK`T0:?+,2017/18,BAJMC04F,BA Public Relations and Advertising FT,Level 4,25.41,Other inc. Private Halls,HA1 3TP,69,44,77
K_0-%&J_]_5&#D;X`JZ13!,2017/18,BAJMC04F,BA Public Relations and Advertising FT,Level 4,0.59,UoW Halls,HA1 3TP,48,43,77
"K_2O4#A17&V;6`>]9PK,D'",2016/17,BAJMC04F,BA Public Relations and Advertising FT,Level 5,6,Other inc. Private Halls,HA1 3TP,71,44,60
"K_2O4#A17&V;6`>]9PK,D'",2017/18,BAJMC04F,BA Public Relations and Advertising FT,Level 6,1.31,Other inc. Private Halls,HA1 3TP,82,27,44
K_5'?H`\3/C=6/D7)+FY5$,2016/17,BSECO01F,BSc Business Economics FT,Level 4,4.71,Other inc. Private Halls,NW1 5LS,19,13,89
"K_78R*9$O_50,(_ZN]*#1!",2016/17,BABSM06F,BA Business Management FT,Level 5,8.58,Unknown,NW1 5LS,62,60,75
"K_78R*9$O_50,(_ZN]*#1!",2017/18,BABSM06F,BA Business Management FT,Level 6,8.58,Unknown,NW1 5LS,64,60,71
K_FO>P9*QX)/1PA#QJY6O),2016/17,BAADS02F,BA Graphic Communication Design FT,Level 5,2.24,UoW Halls,HA1 3TP,65,31,73
K_FO>P9*QX)/1PA#QJY6O),2017/18,BAADS02F,BA Graphic Communication Design FT,Level 6,2.24,UoW Halls,HA1 3TP,62,32,72
K_M`F0WAK;!XY4[YIV#&^!,2016/17,BABSM06F,BA Business Management FT,Level 6,3.64,Other inc. Private Halls,NW1 5LS,65,24,83
"K_N==.:+RN:2<^]9_-!,.'",2016/17,BAJMC01F,BA Digital Media and Communication FT,Level 5,72.69,Unknown,HA1 3TP,6,3,72
K_QR.QZR;`B*XJUPA6Z7-#,2016/17,BSCPM02F,BSc Herbal Medicine FT,Level 6,9.76,Other inc. Private Halls,W1W 6XH,60,41,51
K_UH'5$S6;0JGW_PK#IC0%,2017/18,BSBMS01F,BSc Biomedical Sciences FT,Level 4,3.62,Commuter,W1W 6XH,13,27,79
K`-59(4#R'EHVYFXA][MO#,2017/18,BLLAW02F,LLB Law FT,Level 4,3.77,Commuter,W1B 2HW,63,58,74
K`!5&1?7[>Y&EQ4)G)<)Z',2016/17,BAPHT02F,BA Photography FT,Level 5,6.37,Other inc. Private Halls,HA1 3TP,61,21,95
K`!5&1?7[>Y&EQ4)G)<)Z',2017/18,BAPHT02F,BA Photography FT,Level 6,3.95,Other inc. Private Halls,HA1 3TP,65,12,60
K`#Z$$:)_2UNTOV4[<(SM#,2016/17,BABSM06F,BA Business Management FT,Level 5,8.74,Commuter,NW1 5LS,47,57,86
"K`+N,JJ1M`^,[P[['M]I@)",2016/17,BABSM06F,BA Business Management FT,Level 6,4.24,Other inc. Private Halls,NW1 5LS,62,56,88
"K`=,0R2""MY$(27++#.PGI%",2016/17,BSPSY02F,BSc Psychology FT,Level 6,3.61,Other inc. Private Halls,W1W 6XH,17,17,90
"K`>[7`7L!JG@NSYLX^Q9R,",2016/17,BSECO01F,BSc Business Economics FT,Level 5,0.39,Other inc. Private Halls,NW1 5LS,73,60,85
"K`>[7`7L!JG@NSYLX^Q9R,",2017/18,BSECO01F,BSc Business Economics FT,Level 6,0.39,Other inc. Private Halls,NW1 5LS,66,47,62
"K`0)@C^E*A1(',:=""9J,R+",2017/18,BICSS01F,MEng Software Engineering FT,Level 4,6.64,UoW Halls,W1W 6XH,71,65,90
"K`HU,.2&0""W>L-1/$DG!J&",2017/18,BAADS04F,BA Fine Art Mixed Media FT,Level 4,14.2,Other inc. Private Halls,HA1 3TP,0,12,48
"K`I""BR6OEL!51C$PRI7`$*",2017/18,BSBIO01F,BSc Biochemistry FT,Level 4,12.08,Commuter,W1W 6XH,45,78,101
"K`J`=$3)QO'J!ITM1G6,G,",2016/17,BABSM06F,BA Business Management FT,Level 4,10.71,Commuter,NW1 5LS,49,46,87
K`KUFT\9GIM6.`KO.)G>4$,2017/18,BLLAW02F,LLB Law FT,Level 4,6.18,Other inc. Private Halls,W1B 2HW,65,46,73
K`P+8.$0)'<3S!<X&'W9]),2016/17,BATOE01F,BA Tourism and Events Management FT,Level 4,3.44,Commuter,NW1 5LS,52,54,83
K`P+8.$0)'<3S!<X&'W9]),2017/18,BATOE01F,BA Tourism and Events Management FT,Level 5,3.44,Commuter,NW1 5LS,49,40,73
K`RG[C*%6A!P[:0_Q?D(R',2017/18,BSBIS01F,BSc Business Information Systems FT,Level 4,7.11,Commuter,W1W 6XH,70,79,88
K`U!A&$(-IQ]\1IBS7=44!,2017/18,BABSM06F,BA Business Management FT,Level 4,19.91,Commuter,NW1 5LS,66,46,74
K`URNR'4%LTT`2K?:Q@('#,2016/17,BLLAW02F,LLB Law FT,Level 6,45.96,Unknown,W1B 2HW,53,25,72
"K`Z0SV>S+7?C*NG^$L$US""",2017/18,BABSM06F,BA Business Management FT,Level 4,5.6,Commuter,NW1 5LS,74,54,72
K+$KK40KD:2'J<GR]4*O$%,2016/17,BAHIS03F,BA History FT,Level 6,9.83,Commuter,W1B 2HW,67,39,62
"K+?GLV-/$4H95#X==N'&A""",2016/17,BAJMC06F,BA Television Production FT,Level 5,14.25,Commuter,HA1 3TP,43,18,66
K+@U0<^_J_.[VKRZK[J3[!,2016/17,BSPSY02F,BSc Psychology FT,Level 4,7.73,Commuter,W1W 6XH,54,61,72
K+@U0<^_J_.[VKRZK[J3[!,2017/18,BSPSY02F,BSc Psychology FT,Level 5,7.73,Commuter,W1W 6XH,55,49,68
K+^2;@:IH=O.S^%V\GORO%,2016/17,BABSM06F,BA Business Management FT,Level 5,8.14,Other inc. Private Halls,NW1 5LS,63,50,86
K+^2;@:IH=O.S^%V\GORO%,2017/18,BABSM06F,BA Business Management FT,Level 6,6.86,Other inc. Private Halls,NW1 5LS,59,37,74
"K+_H&EF\J,5""OUT+HSP7/""",2016/17,BAENG07F,BA English Literature FT,Level 5,5.45,Commuter,W1B 2HW,48,27,65
"K+_H&EF\J,5""OUT+HSP7/""",2017/18,BAENG07F,BA English Literature FT,Level 6,5.45,Commuter,W1B 2HW,56,21,52
K+`SV0:$FQ6SNK52-(2CZ(,2016/17,BAPIR02F,BA International Relations FT,Level 6,8.9,Commuter,W1B 2HW,63,32,61
K+='1AI5V'8@UY3ZC`D@I&,2016/17,BSPSY02F,BSc Psychology FT,Level 6,,Unknown,W1W 6XH,64,12,67
"K+1^-%;W4_O""""U'\3Y7I=$",2017/18,BSBIS01F,BSc Business Information Systems FT,Level 4,2.82,Commuter,W1W 6XH,39,46,89
"K+4>*T(PFJ]B(B,4REJVR(",2016/17,BSPSY02F,BSc Psychology FT,Level 4,8.13,Commuter,W1W 6XH,45,49,73
K+4IOQP\9@J@@;OC3.SKB%,2017/18,BSACC01F,BSc Accounting FT,Level 4,2.85,Other inc. Private Halls,NW1 5LS,6,18,40
K+8AC?PM3S8@_$SXCM+PV*,2017/18,BAPIR01F,BA International Relations and Development FT,Level 4,8.27,Commuter,W1B 2HW,66,53,68
K+BQ\=_XGG<V!:1P+LC2=',2017/18,BABSM06F,BA Business Management FT,Level 6,6,UoW Halls,NW1 5LS,66,57,73
"K+H5-B]*N7[C04N'E8H&',",2016/17,BABSM06F,BA Business Management FT,Level 5,3.29,Other inc. Private Halls,NW1 5LS,53,54,86
"K+H5-B]*N7[C04N'E8H&',",2017/18,BABSM06F,BA Business Management FT,Level 6,3.29,Other inc. Private Halls,NW1 5LS,64,29,74
"K+M31W/""ZG:`2N\]V+[$[""",2016/17,BSCPM02F,BSc Herbal Medicine FT,Level 5,3.79,Commuter,W1W 6XH,54,42,56
"K+M31W/""ZG:`2N\]V+[$[""",2017/18,BSCPM02F,BSc Herbal Medicine FT,Level 6,3.79,Commuter,W1W 6XH,59,60,88
"K+UOST@><NC!U-6?K675>,",2016/17,BSCSS02F,BSc Computer Science FT,Level 5,8.43,Other inc. Private Halls,W1W 6XH,59,51,98
"K+UOST@><NC!U-6?K675>,",2017/18,BSCSS02F,BSc Computer Science FT,Level 6,8.43,Other inc. Private Halls,W1W 6XH,46,21,57
K+WYX?).8<VH]!/+FGNCP*,2017/18,BSPSY02F,BSc Psychology FT,Level 4,11.78,Commuter,W1W 6XH,63,45,71
"K<!I""YN@`.G-,^2!'JF[#/",2017/18,BSPOC03F,BSc Building Surveying FT,Level 4,10.68,Commuter,NW1 5LS,,0,2
K<@/Y14DA0U^']+8Y4`R4.,2016/17,BABSM06F,BA Business Management FT,Level 6,12.28,Commuter,NW1 5LS,53,36,68
K<0<#_'\MY3JIB6V+Y:IC0,2016/17,BSCPM01F,BSc Chinese Medicine Acupuncture FT,Level 6,5.68,Commuter,W1W 6XH,65,28,51
"K<1J`IU\%1UT]M71""SD#N""",2017/18,BSCSS02F,BSc Computer Science FT,Level 4,6.68,Commuter,W1W 6XH,82,67,91
K<8^2J5B>\>%XIT2(DD@K0,2017/18,BMMUS01F,BMus Commercial Music Performance FT,Level 6,1.3,Unknown,HA1 3TP,70,20,70
"K<9:ASC>^73[`5_YX`K&,,",2016/17,BSPOC07F,BSc Real Estate FT,Level 5,4.97,Commuter,NW1 5LS,73,33,60
"K<9:ASC>^73[`5_YX`K&,,",2017/18,BSPOC07F,BSc Real Estate FT,Level 6,4.97,Commuter,NW1 5LS,78,29,49
K<474:VKUQV2$]E#Y#P'F%,2017/18,BLLAW02F,LLB Law FT,Level 4,2.67,Commuter,W1B 2HW,48,40,84
K<7800(X*6<0G8NJ#!)F0),2016/17,BSCSS02F,BSc Computer Science FT,Level 4,5.33,Commuter,W1W 6XH,62,58,74
K<7800(X*6<0G8NJ#!)F0),2017/18,BSCSS02F,BSc Computer Science FT,Level 5,5.33,Commuter,W1W 6XH,68,45,70
K<AZ1!*!P@V^R^;#%G$A9&,2016/17,BAMUS01F,BA Commercial Music FT,Level 4,9.09,Commuter,HA1 3TP,54,33,57
K<AZ1!*!P@V^R^;#%G$A9&,2017/18,BAMUS01F,BA Commercial Music FT,Level 5,9.09,Commuter,HA1 3TP,46,15,42
K<E:4-K)^&$QY7JT)0'U9+,2016/17,BSNUT01F,BSc Human Nutrition FT,Level 5,12.79,Unknown,W1W 6XH,64,72,82
K<E:4-K)^&$QY7JT)0'U9+,2017/18,BSNUT01F,BSc Human Nutrition FT,Level 6,12.79,Unknown,W1W 6XH,66,31,51
K<I%C:>>A[JQ@P69/!I[X0,2017/18,BSPSY01F,BSc Cognitive and Clinical Neuroscience FT,Level 4,6.55,Commuter,W1W 6XH,,44,71
K<K;?6(GV%_K06Z_-@<U+*,2016/17,BAENG01F,BA Creative Writing and English Language FT,Level 6,4.65,Other inc. Private Halls,W1B 2HW,62,6,48
K<O>=?83^A'EC;'$#WFF\%,2017/18,BACRI01F,BA Criminology FT,Level 5,10.97,Other inc. Private Halls,W1B 2HW,50,38,69
"K<SO#*LZ#WA4:K:$RZRKN""",2016/17,BABSM06F,BA Business Management FT,Level 6,4.29,Other inc. Private Halls,NW1 5LS,75,39,75
K<SP\'0)Q%%FR*!PSJ-^<0,2016/17,BABSM06F,BA Business Management FT,Level 4,3.92,Commuter,NW1 5LS,57,41,74
K<SP\'0)Q%%FR*!PSJ-^<0,2017/18,BABSM06F,BA Business Management FT,Level 5,3.92,Commuter,NW1 5LS,52,41,74
K<SXNW5HQF!VQDZ*3=@H$!,2016/17,BABSM07F,BA International Business FT,Level 4,6.07,UoW Halls,NW1 5LS,65,45,76
K<SXNW5HQF!VQDZ*3=@H$!,2017/18,BABSM07F,BA International Business FT,Level 5,5.73,Other inc. Private Halls,NW1 5LS,67,49,75
"K=(/[JLU^(==18(^?[M"",%",2016/17,BLLAW02F,LLB Law FT,Level 6,6.92,Commuter,W1B 2HW,3,34,73
"K=,75Y*I=0\?*3C._#T>/(",2016/17,BSBMS04F,BSc Honours Biomedical Sciences (Sandwich) FT,Level 4,21.8,Unknown,W1W 6XH,45,47,85
"K=,75Y*I=0\?*3C._#T>/(",2017/18,BSBMS04F,BSc Honours Biomedical Sciences (Sandwich) FT,Level 5,21.8,Unknown,W1W 6XH,43,28,75
"K=.MC0>[""H+&4+J#5%)U++",2016/17,BSBMS01F,BSc Biomedical Sciences FT,Level 4,48.84,Unknown,W1W 6XH,68,27,88
K=.P['+N(G9F.(G+0A$@K-,2016/17,BILAW04F,Integrated Master‰Ûªs in Law (M-Law) FT,Level 5,1.38,Other inc. Private Halls,W1B 2HW,69,89,97
K=.P['+N(G9F.(G+0A$@K-,2017/18,BILAW04F,Integrated Master‰Ûªs in Law (M-Law) FT,Level 6,1.38,Other inc. Private Halls,W1B 2HW,70,56,63
"K=:3TN?%""X:QCV&`5-A$K/",2016/17,BAPIR01F,BA International Relations and Development FT,Level 6,5.61,Commuter,W1B 2HW,43,13,61
"K=]?E(%3&U</#ZN`""AW30+",2016/17,BSPOC03F,BSc Building Surveying FT,Level 5,10.58,Commuter,NW1 5LS,50,29,51
"K=]?E(%3&U</#ZN`""AW30+",2017/18,BSPOC03F,BSc Building Surveying FT,Level 6,10.58,Commuter,NW1 5LS,61,21,49
K==;;;\\(V3.ZLY`33CJ5$,2017/18,BABSM06F,BA Business Management FT,Level 6,2.17,Other inc. Private Halls,NW1 5LS,65,64,72
K=6&\JJN*MQ+>PV*E#?&[*,2016/17,BABSM06F,BA Business Management FT,Level 6,1.25,Other inc. Private Halls,NW1 5LS,64,67,81
"K=6=9QOW""?>@=H@\S.+9E""",2016/17,BABSM06F,BA Business Management FT,Level 6,10.27,Other inc. Private Halls,NW1 5LS,60,21,85
"K=8FWRAS9XUA&PJ+.4)-O,",2016/17,BLLAW01F,LLB European Legal Studies FT,Level 5,6.76,Other inc. Private Halls,W1B 2HW,60,52,98
"K=HXP+.715V,<$6AH96VP+",2016/17,BAHIS01F,BA History and Politics FT,Level 4,5.72,Other inc. Private Halls,W1B 2HW,69,56,71
"K=HXP+.715V,<$6AH96VP+",2017/18,BAHIS01F,BA History and Politics FT,Level 5,5.72,Other inc. Private Halls,W1B 2HW,72,54,66
"K=M*?E/'ZXJ/Z=RVS'$^+,",2017/18,BAFAS03F,BA Fashion Merchandise Management FT,Level 4,0.59,UoW Halls,HA1 3TP,51,49,80
"K=R/W!D_DPX<\^L8WC-`M,",2016/17,BABSM06F,BA Business Management FT,Level 4,10.82,Unknown,NW1 5LS,63,49,87
"K=VF)428$/41""1&B'N/N$$",2016/17,BAARC01F,BA Architecture FT,Level 6,20.21,Unknown,NW1 5LS,55,4,83
"K>$E%I6!@(&$,?*3'J@7=,",2016/17,BECSS01F,BEng Software Engineering FT,Level 4,0.49,Other inc. Private Halls,W1W 6XH,,58,74
"K>$E%I6!@(&$,?*3'J@7=,",2017/18,BSCSS02F,BSc Computer Science FT,Level 5,0.49,Other inc. Private Halls,W1W 6XH,76,50,94
K>&=NC*MY#!2P3NBE<9:%!,2017/18,BAPIR02F,BA International Relations FT,Level 4,6.66,UoW Halls,W1B 2HW,58,51,59
"K>;""7=6""<)$%=DBJ$:7+\0",2017/18,BSBMS04F,BSc Honours Biomedical Sciences (Sandwich) FT,Level 4,8.9,Commuter,W1W 6XH,50,66,95
"K>=]X3(_<ID`P^T05`17""$",2016/17,BAMRK03F,BA Marketing Management FT,Level 5,5.75,Other inc. Private Halls,NW1 5LS,55,54,74
"K>=]X3(_<ID`P^T05`17""$",2017/18,BAMRK03F,BA Marketing Management FT,Level 6,5.75,Other inc. Private Halls,NW1 5LS,60,59,76
"K>>5G$B_UU<&9E?4Z&]`X""",2016/17,BSBMS01F,BSc Biomedical Sciences FT,Level 4,9.23,Other inc. Private Halls,W1W 6XH,43,46,88
K>0WCW\4UZQ%!Q%/F7_`\+,2016/17,BAHIS03F,BA History FT,Level 6,2.94,Other inc. Private Halls,W1B 2HW,65,49,74
K>5C;]4X%:H88R3;^R`G.*,2016/17,BSPSY02F,BSc Psychology FT,Level 4,7.9,Commuter,W1W 6XH,60,56,72
K>5C;]4X%:H88R3;^R`G.*,2017/18,BSPSY02F,BSc Psychology FT,Level 5,7.9,Commuter,W1W 6XH,63,51,68
"K>B""0MRF4FF\W&70Q""@N!*",2016/17,BSCPM01F,BSc Chinese Medicine Acupuncture FT,Level 5,4.89,Other inc. Private Halls,W1W 6XH,64,52,56
"K>B""0MRF4FF\W&70Q""@N!*",2017/18,BSCPM01F,BSc Chinese Medicine Acupuncture FT,Level 6,4.89,Other inc. Private Halls,W1W 6XH,63,80,96
"K>C?1AWRG\O(@E6L3O(E(""",2017/18,BSBMS03F,BSc Pharmacology and Physiology FT,Level 4,1.87,Other inc. Private Halls,W1W 6XH,26,39,88
"K>D-""!#K_V;']E84VU[H$(",2017/18,BAPHT01F,BA Contemporary Media Practice FT,Level 4,2.41,Other inc. Private Halls,HA1 3TP,59,32,91
K>E%*M@+27$F#PZJ\J117!,2016/17,BSBMS01F,BSc Biomedical Sciences FT,Level 5,28.17,Unknown,W1W 6XH,57,20,81
K>E%*M@+27$F#PZJ\J117!,2017/18,BSBMS01F,BSc Biomedical Sciences FT,Level 6,28.17,Unknown,W1W 6XH,51,11,77
K0'9']0'F`ZO:C]##(ML!*,2017/18,BSACC01F,BSc Accounting FT,Level 5,5.89,Commuter,NW1 5LS,55,6,86
"K0,9^:QS.'6-6'4F&Y=9S*",2016/17,BSPOC07F,BSc Real Estate FT,Level 5,6.53,Commuter,NW1 5LS,45,38,60
"K0,9^:QS.'6-6'4F&Y=9S*",2017/18,BSPOC07F,BSc Real Estate FT,Level 6,6.53,Commuter,NW1 5LS,62,25,49
"K0?\+KOOG<3]^CIWPSGJ,#",2016/17,BABSM06F,BA Business Management FT,Level 4,7.57,Commuter,NW1 5LS,69,52,87
